Security Log Analysis Report

Total Requests,10
Failed Login Attempts,3

Request Method Summary
Method,Count
GET,7
POST,3

Detailed Log Entries
IP Address,Method,Path,Status,Risk,Timestamp
192.168.1.10,GET,/,200,SAFE,03/Jun/2026:10:15:23 +0000
192.168.1.11,POST,/login,401,MEDIUM,03/Jun/2026:10:16:10 +0000
192.168.1.12,GET,/dashboard,200,SAFE,03/Jun/2026:10:17:05 +0000
192.168.1.11,POST,/login,401,MEDIUM,03/Jun/2026:10:17:40 +0000
192.168.1.11,POST,/login,401,MEDIUM,03/Jun/2026:10:18:05 +0000
192.168.1.15,GET,/admin,403,MEDIUM,03/Jun/2026:10:19:20 +0000
192.168.1.16,GET,/contact,200,SAFE,03/Jun/2026:10:20:01 +0000
192.168.1.17,GET,/unknown,404,LOW,03/Jun/2026:10:21:15 +0000
192.168.1.18,GET,/index.html,200,SAFE,03/Jun/2026:10:22:42 +0000
192.168.1.19,GET,/secret,500,HIGH,03/Jun/2026:10:23:30 +0000
